time_key,year,month,day
T00134,2014,12,23
T00135,2019,09,25
T00136,2014,03,03
T00137,2018,07,01
T00138,2019,05,20
T00139,2018,05,04
T00140,2019,06,07
T00141,2014,06,28
T00142,2015,05,12
T00143,2014,03,30
T00144,2018,06,01
T00145,2017,01,11
T00146,2019,07,24
T00147,2014,04,13
T00148,2014,10,15
T00149,2015,07,21
T00150,2020,03,02
T00151,2017,02,18
T00152,2020,04,06
T00153,2017,05,21
T00154,2015,10,31
T00155,2019,07,23
T00156,2015,12,04
T00157,2020,12,29
T00158,2017,11,08
T00159,2020,01,03
T00160,2015,02,10
T00161,2016,11,30
T00162,2017,05,19
T00163,2019,04,05
T00164,2014,05,28
T00165,2020,10,21
T00166,2015,09,07
T00167,2019,02,09
T00168,2015,03,14
T00169,2017,07,08
T00170,2015,10,08
T00171,2019,10,17
T00172,2016,03,20
T00173,2018,03,10
T00174,2017,09,20
T00175,2017,06,30
T00176,2016,08,20
T00177,2020,06,19
T00178,2018,01,14
T00179,2018,05,23
T00180,2020,05,23
T00181,2014,11,12
T00182,2015,02,22
T00183,2019,05,09
T00184,2018,10,12
T00185,2020,03,16
T00186,2017,05,28
T00187,2017,11,21
T00188,2019,08,02
T00189,2015,10,10
T00190,2016,11,24
T00191,2019,04,20
T00192,2020,12,07
T00193,2014,12,09
T00194,2020,11,15
T00195,2015,04,10
T00196,2019,08,12
T00197,2020,08,24
T00198,2017,12,03
T00199,2019,09,08
T00200,2017,11,21
T00201,2018,12,14
T00202,2014,02,19
T00203,2018,02,06
T00204,2017,05,24
T00205,2014,05,22
T00206,2017,10,07
T00207,2015,07,01
T00208,2015,09,17
T00209,2018,11,19
T00210,2018,08,25
T00211,2017,03,02
T00212,2019,01,18
T00213,2018,08,06
T00214,2016,09,14
T00215,2016,08,17
T00216,2019,05,12
T00217,2015,08,27
T00218,2016,04,18
T00219,2014,08,30
T00220,2019,05,07
T00221,2018,12,19
T00222,2017,07,22
T00223,2017,05,31
T00224,2014,11,04
T00225,2018,04,02
T00226,2014,06,13
T00227,2014,11,14
T00228,2020,05,10
T00229,2019,02,04
T00230,2014,11,12
T00231,2017,12,26
T00232,2019,04,17
T00233,2015,04,29
T00234,2015,05,11
T00235,2019,03,19
T00236,2015,03,18
T00237,2017,08,09
T00238,2016,01,03
T00239,2015,11,25
T00240,2016,08,11
T00241,2017,12,24
T00242,2015,05,16
T00243,2020,04,28
T00244,2018,08,09
T00245,2019,11,09
T00246,2018,01,14
T00247,2015,02,24
T00248,2014,07,27
T00249,2016,06,13
T00250,2015,09,08
T00251,2016,11,30
T00252,2016,06,29
T00253,2018,08,21
T00254,2018,08,25
T00255,2017,06,28
T00256,2014,12,31
T00257,2014,09,24
T00258,2014,02,01
T00259,2017,10,04
T00260,2015,02,03
T00261,2018,06,02
T00262,2020,06,26
T00263,2015,09,09
T00264,2019,09,25
T00265,2015,08,29
T00266,2020,08,15
T00267,2018,10,26
T00268,2021,01,10
T00269,2014,09,03
T00270,2018,01,17
T00271,2020,03,27
T00272,2017,01,18
T00273,2018,10,19
T00274,2017,12,03
T00275,2014,08,31
T00276,2017,03,28
T00277,2020,03,30
T00278,2017,10,18
T00279,2018,07,28
T00280,2018,08,24
T00281,2019,01,18
T00282,2016,06,22
T00283,2018,12,28
T00284,2020,03,06
T00285,2015,09,05
T00286,2020,11,07
T00287,2019,09,11
T00288,2016,11,03
T00289,2014,04,16
T00290,2018,08,12
T00291,2015,02,12
T00292,2017,06,04
T00293,2014,04,19
T00294,2017,03,03
T00295,2018,05,19
T00296,2014,04,15
T00297,2014,10,18
T00298,2016,04,20
T00299,2019,11,12
T00300,2019,11,20
T00301,2014,06,07
T00302,2020,10,07
T00303,2014,11,13
T00304,2019,11,10
T00305,2020,06,10
T00306,2014,04,27
T00307,2019,09,04
T00308,2017,06,30
T00309,2015,08,28
T00310,2021,01,07
T00311,2019,01,03
T00312,2016,11,13
T00313,2020,01,10
T00314,2015,01,22
T00315,2014,02,01
T00316,2020,10,16
T00317,2019,05,09
T00318,2018,12,19
T00319,2019,05,23
T00320,2019,03,13
T00321,2017,10,31
T00322,2016,03,28
T00323,2016,03,28
T00324,2020,03,11
T00325,2014,05,14
T00326,2016,02,17
T00327,2014,05,28
T00328,2015,02,15
T00329,2018,11,21
T00330,2014,08,08
T00331,2020,02,16
T00332,2020,10,01
T00333,2015,01,01
T00334,2018,01,03
T00335,2017,01,13
T00336,2019,11,02
T00337,2016,11,27
T00338,2018,02,17
T00339,2018,02,20
T00340,2017,06,22
T00341,2017,10,10
T00342,2014,08,06
T00343,2015,05,27
T00344,2016,02,27
T00345,2018,07,17
T00346,2015,10,21
T00347,2014,12,03
T00348,2018,02,04
T00349,2018,08,28
T00350,2017,02,20
T00351,2018,12,21
T00352,2019,05,17
T00353,2017,09,28
T00354,2014,07,12
T00355,2017,07,12
T00356,2015,03,31
T00357,2018,06,01
T00358,2018,11,04
T00359,2018,02,04
T00360,2014,06,09
T00361,2019,03,18
T00362,2017,01,08
T00363,2015,06,19
T00364,2014,10,28
T00365,2017,08,30
T00366,2014,09,20
T00367,2016,11,14
T00368,2019,06,22
T00369,2019,10,25
T00370,2016,01,03
T00371,2014,03,01
T00372,2017,06,12
T00373,2017,12,30
T00374,2019,11,04
T00375,2018,02,13
T00376,2014,07,24
T00377,2018,08,20
T00378,2016,01,20
T00379,2020,01,03
T00380,2020,09,10
T00381,2020,06,10
T00382,2018,01,26
T00383,2020,03,09
T00384,2014,10,03
T00385,2016,11,20
T00386,2016,10,29
T00387,2019,07,11
T00388,2019,07,29
T00389,2015,06,27
T00390,2014,06,21
T00391,2018,01,22
T00392,2020,06,17
T00393,2019,10,26
T00394,2018,06,28
T00395,2018,08,12
T00396,2019,06,24
T00397,2018,06,20
T00398,2020,11,12
T00399,2018,12,15
T00400,2019,10,28
T00401,2018,01,22
T00402,2014,04,09
T00403,2014,12,06
T00404,2016,05,17
T00405,2015,11,07
T00406,2017,03,18
T00407,2015,10,10
T00408,2014,08,21
T00409,2018,10,30
T00410,2020,07,21
T00411,2018,05,10
T00412,2017,01,29
T00413,2017,12,29
T00414,2020,07,05
T00415,2017,03,27
T00416,2020,08,14
T00417,2017,08,02
T00418,2014,05,13
T00419,2019,12,16
T00420,2020,10,25
T00421,2016,03,15
T00422,2015,07,16
T00423,2016,04,12
T00424,2014,09,21
T00425,2014,07,28
T00426,2015,12,11
T00427,2018,10,05
T00428,2020,12,12
T00429,2016,11,02
T00430,2018,09,01
T00431,2014,05,25
T00432,2019,08,06
T00433,2016,09,07
T00434,2017,12,19
T00435,2019,07,26
T00436,2017,02,13
T00437,2016,06,15
T00438,2017,05,03
T00439,2014,07,16
T00440,2019,03,06
T00441,2015,10,24
T00442,2020,07,09
T00443,2014,07,24
T00444,2015,06,18
T00445,2016,07,31
T00446,2018,06,10
T00447,2019,02,22
T00448,2015,02,02
T00449,2017,06,24
T00450,2018,07,23
T00451,2014,02,02
T00452,2019,02,19
T00453,2016,11,21
T00454,2018,06,25
T00455,2018,05,22
T00456,2016,03,07
T00457,2014,12,12
T00458,2018,11,17
T00459,2018,02,07
T00460,2021,01,15
T00461,2015,05,17
T00462,2018,06,11
T00463,2019,10,25
T00464,2018,02,04
T00465,2020,03,08
T00466,2017,12,28
T00467,2017,09,16
T00468,2020,02,01
T00469,2020,12,28
T00470,2020,01,01
T00471,2018,09,21
T00472,2018,07,17
T00473,2014,06,19
T00474,2016,07,23
T00475,2018,06,07
T00476,2020,03,02
T00477,2018,02,19
T00478,2017,01,19
T00479,2017,08,20
T00480,2020,04,14
T00481,2016,08,24
T00482,2014,02,28
T00483,2018,05,08
T00484,2020,05,12
T00485,2019,07,15
T00486,2015,01,26
T00487,2016,12,17
T00488,2015,03,05
T00489,2014,03,19
T00490,2019,09,16
T00491,2016,03,17
T00492,2017,09,29
T00493,2015,04,28
T00494,2017,08,06
T00495,2017,01,01
T00496,2019,06,07
T00497,2017,07,11
T00498,2019,07,11
T00499,2020,07,05
T00500,2017,09,19
T00501,2016,04,18
T00502,2014,04,30
T00503,2014,07,12
T00504,2020,03,03
T00505,2014,03,19
T00506,2017,07,12
T00507,2014,06,15
T00508,2018,01,26
T00509,2018,07,04
T00510,2016,12,10
T00511,2019,08,25
T00512,2014,03,04
T00513,2017,09,13
T00514,2020,05,22
T00515,2019,12,29
T00516,2018,07,30
T00517,2016,05,26
T00518,2020,06,11
T00519,2015,06,15
T00520,2014,02,22
T00521,2015,01,03
T00522,2014,10,28
T00523,2018,04,20
T00524,2020,04,05
T00525,2020,08,12
T00526,2014,03,27
T00527,2015,04,29
T00528,2016,11,19
T00529,2018,05,02
T00530,2020,12,16
T00531,2020,01,10
T00532,2016,11,26
T00533,2020,04,21
T00534,2018,06,29
T00535,2017,11,09
T00536,2020,07,11
T00537,2015,12,12
T00538,2020,01,08
T00539,2019,03,27
T00540,2019,08,01
T00541,2014,10,13
T00542,2014,09,14
T00543,2018,12,29
T00544,2015,04,25
T00545,2017,12,10
T00546,2016,11,04
T00547,2014,09,23
T00548,2016,09,13
T00549,2018,09,21
T00550,2014,05,06
T00551,2017,12,25
T00552,2016,05,28
T00553,2016,07,11
T00554,2015,05,01
T00555,2019,09,11
T00556,2014,08,11
T00557,2018,01,20
T00558,2016,03,29
T00559,2018,01,16
T00560,2015,11,22
T00561,2016,02,15
T00562,2019,04,04
T00563,2019,12,03
T00564,2018,10,05
T00565,2014,10,30
T00566,2015,12,17
T00567,2018,10,24
T00568,2016,01,28
T00569,2014,03,04
T00570,2017,02,28
T00571,2019,05,30
T00572,2020,07,21
T00573,2015,05,27
T00574,2018,03,20
T00575,2018,07,19
T00576,2014,03,11
T00577,2019,10,31
T00578,2014,09,26
T00579,2018,05,10
T00580,2014,04,18
T00581,2018,08,01
T00582,2020,01,28
T00583,2014,08,29
T00584,2015,02,14
T00585,2019,09,28
T00586,2018,08,11
T00587,2017,09,16
T00588,2018,09,26
T00589,2017,05,26
T00590,2015,03,09
T00591,2014,09,04
T00592,2014,01,27
T00593,2018,09,17
T00594,2015,04,04
T00595,2019,08,30
T00596,2018,04,14
T00597,2020,01,25
T00598,2017,02,05
T00599,2016,08,03
T00600,2018,07,01
T00601,2017,07,08
T00602,2016,11,01
T00603,2014,08,07
T00604,2018,11,30
T00605,2018,12,08
T00606,2018,04,28
T00607,2019,05,24
T00608,2014,07,22
T00609,2019,02,24
T00610,2017,03,12
T00611,2017,11,26
T00612,2017,09,15
T00613,2018,02,02
T00614,2018,11,11
T00615,2016,02,01
T00616,2014,02,15
T00617,2020,11,29
T00618,2015,11,02
T00619,2018,07,26
T00620,2016,06,13
T00621,2015,08,31
T00622,2016,12,30
T00623,2020,03,07
T00624,2019,04,22
T00625,2014,06,03
T00626,2020,10,05
T00627,2017,12,15
T00628,2017,06,17
T00629,2016,02,24
T00630,2020,05,04
T00631,2018,11,15
T00632,2018,01,26
T00633,2018,08,05
T00634,2018,09,02
T00635,2016,01,03
T00636,2020,09,22
T00637,2018,07,28
T00638,2018,02,01
T00639,2014,12,12
T00640,2014,04,05
T00641,2014,06,28
T00642,2016,05,10
T00643,2017,10,03
T00644,2014,07,24
T00645,2018,05,04
T00646,2020,12,22
T00647,2017,03,03
T00648,2019,03,23
T00649,2018,01,09
T00650,2020,01,22
T00651,2016,11,03
T00652,2019,02,01
T00653,2018,09,18
T00654,2016,07,30
T00655,2018,05,30
T00656,2015,10,08
T00657,2016,05,08
T00658,2020,03,26
T00659,2015,03,16
T00660,2015,12,30
T00661,2020,03,12
T00662,2015,09,14
T00663,2014,12,27
T00664,2017,03,01
T00665,2016,09,10
T00666,2014,05,05
T00667,2014,10,30
T00668,2016,08,25
T00669,2016,09,17
T00670,2015,06,03
T00671,2016,03,24
T00672,2020,04,18
T00673,2015,05,14
T00674,2019,06,18
T00675,2020,05,27
T00676,2019,08,10
T00677,2015,05,21
T00678,2021,01,07
T00679,2015,07,09
T00680,2017,07,17
T00681,2017,04,01
T00682,2015,08,06
T00683,2020,09,27
T00684,2019,05,09
T00685,2018,01,01
T00686,2014,02,27
T00687,2020,03,10
T00688,2018,08,25
T00689,2016,11,19
T00690,2015,10,07
T00691,2015,01,28
T00692,2020,12,08
T00693,2017,08,10
T00694,2014,09,11
T00695,2015,02,26
T00696,2014,01,24
T00697,2014,08,11
T00698,2014,05,16
T00699,2018,04,28
T00700,2020,05,19
T00701,2020,01,22
T00702,2014,05,30
T00703,2015,03,25
T00704,2014,08,07
T00705,2018,05,07
T00706,2017,04,04
T00707,2016,06,12
T00708,2020,10,23
T00709,2016,11,25
T00710,2019,10,26
T00711,2014,08,16
T00712,2019,11,01
T00713,2018,12,31
T00714,2020,02,07
T00715,2014,03,25
T00716,2020,09,30
T00717,2016,07,15
T00718,2020,11,15
T00719,2020,02,13
T00720,2020,02,01
T00721,2015,06,05
T00722,2018,11,19
T00723,2014,04,09
T00724,2016,06,02
T00725,2014,08,28
T00726,2018,10,29
T00727,2015,03,03
T00728,2020,07,18
T00729,2020,10,23
T00730,2017,10,10
T00731,2021,01,18
T00732,2015,01,18
T00733,2018,05,17
T00734,2015,08,14
T00735,2018,10,27
T00736,2019,10,19
T00737,2019,04,30
T00738,2020,07,08
T00739,2015,12,01
T00740,2015,08,09
T00741,2018,06,06
T00742,2017,10,28
T00743,2015,06,04
T00744,2019,01,24
T00745,2017,05,08
T00746,2019,12,12
T00747,2016,05,23
T00748,2020,04,24
T00749,2016,06,02
T00750,2019,03,26
T00751,2017,03,20
T00752,2016,06,18
T00753,2015,10,03
T00754,2019,06,28
T00755,2016,12,16
T00756,2020,08,02
T00757,2017,01,29
T00758,2014,08,17
T00759,2017,12,12
T00760,2021,01,18
T00761,2015,10,07
T00762,2015,10,07
T00763,2016,02,27
T00764,2016,06,13
T00765,2016,05,14
T00766,2019,04,28
T00767,2015,09,24
T00768,2018,05,23
T00769,2019,10,10
T00770,2015,10,04
T00771,2019,03,22
T00772,2016,02,06
T00773,2018,07,18
T00774,2018,05,30
T00775,2016,02,16
T00776,2016,11,23
T00777,2014,11,18
T00778,2020,10,26
T00779,2017,01,22
T00780,2017,03,08
T00781,2020,06,16
T00782,2015,06,02
T00783,2015,10,29
T00784,2020,01,23
T00785,2017,04,17
T00786,2016,05,27
T00787,2019,03,26
T00788,2016,03,18
T00789,2014,02,03
T00790,2020,03,08
T00791,2015,02,23
T00792,2018,06,03
T00793,2016,12,11
T00794,2020,04,24
T00795,2016,10,30
T00796,2014,09,23
T00797,2020,11,23
T00798,2020,02,23
T00799,2019,12,26
T00800,2014,05,07
T00801,2014,11,22
T00802,2015,02,03
T00803,2020,08,03
T00804,2015,02,16
T00805,2016,04,16
T00806,2016,04,16
T00807,2019,01,16
T00808,2014,03,04
T00809,2017,01,25
T00810,2018,07,31
T00811,2017,05,08
T00812,2014,03,08
T00813,2014,11,11
T00814,2016,04,27
T00815,2020,11,16
T00816,2018,12,14
T00817,2019,10,25
T00818,2019,11,26
T00819,2015,12,27
T00820,2020,01,19
T00821,2017,06,16
T00822,2018,07,27
T00823,2016,07,22
T00824,2014,02,21
T00825,2016,08,08
T00826,2016,05,03
T00827,2018,05,05
T00828,2019,06,02
T00829,2015,09,06
T00830,2015,10,01
T00831,2020,10,28
T00832,2015,01,04
T00833,2016,06,29
T00834,2017,01,21
T00835,2017,05,09
T00836,2016,01,28
T00837,2015,03,28
T00838,2018,01,23
T00839,2020,03,02
T00840,2018,06,09
T00841,2017,06,11
T00842,2017,06,14
T00843,2019,12,24
T00844,2016,09,13
T00845,2014,11,13
T00846,2015,10,04
T00847,2017,03,24
T00848,2019,02,20
T00849,2020,01,13
T00850,2015,11,21
T00851,2015,01,04
T00852,2017,04,13
T00853,2016,11,07
T00854,2019,11,12
T00855,2016,04,08
T00856,2020,05,31
T00857,2016,08,24
T00858,2019,04,30
T00859,2018,11,25
T00860,2016,06,16
T00861,2020,12,03
T00862,2019,10,05
T00863,2018,08,21
T00864,2017,05,15
T00865,2019,08,09
T00866,2014,02,18
T00867,2018,03,29
T00868,2016,08,12
T00869,2016,02,12
T00870,2015,11,20
T00871,2015,01,27
T00872,2018,03,25
T00873,2020,12,02
T00874,2020,11,06
T00875,2017,12,13
T00876,2015,09,20
T00877,2016,10,10
T00878,2019,06,29
T00879,2017,12,28
T00880,2015,09,15
T00881,2019,02,23
T00882,2019,06,16
T00883,2015,10,31
T00884,2015,08,18
T00885,2016,07,03
T00886,2014,04,14
T00887,2017,08,10
T00888,2015,10,20
T00889,2020,07,26
T00890,2018,02,25
T00891,2016,05,07
T00892,2014,07,08
T00893,2014,06,30
T00894,2019,01,26
T00895,2017,09,07
T00896,2017,06,20
T00897,2016,04,12
T00898,2014,05,04
T00899,2014,11,06
T00900,2014,12,29
T00901,2014,06,11
T00902,2015,09,12
T00903,2017,10,27
T00904,2017,02,16
T00905,2015,12,27
T00906,2015,04,12
T00907,2019,02,14
T00908,2015,04,07
T00909,2014,11,16
T00910,2016,05,30
T00911,2020,01,26
T00912,2015,07,25
T00913,2019,11,20
T00914,2015,12,07
T00915,2020,06,29
T00916,2020,11,12
T00917,2020,06,19
T00918,2020,09,19
T00919,2016,01,01
T00920,2016,10,08
T00921,2018,04,15
T00922,2020,01,18
T00923,2017,06,28
T00924,2019,11,06
T00925,2018,12,04
T00926,2016,12,22
T00927,2015,11,03
T00928,2017,07,11
T00929,2017,03,04
T00930,2017,12,05
T00931,2019,09,21
T00932,2014,07,17
T00933,2016,04,29
T00934,2018,07,17
T00935,2017,05,12
T00936,2014,12,30
T00937,2015,06,17
T00938,2019,01,22
T00939,2016,10,08
T00940,2016,06,25
T00941,2019,10,19
T00942,2019,01,07
T00943,2018,10,14
T00944,2020,01,07
T00945,2016,04,02
T00946,2015,11,02
T00947,2015,02,16
T00948,2019,10,20
T00949,2020,11,23
T00950,2020,12,17
T00951,2020,01,28
T00952,2018,09,29
T00953,2016,10,24
T00954,2018,06,20
T00955,2017,05,15
T00956,2014,06,08
T00957,2015,05,21
T00958,2021,01,05
T00959,2020,10,04
T00960,2016,04,17
T00961,2020,12,08
T00962,2016,07,29
T00963,2017,03,13
T00964,2020,10,26
T00965,2014,12,03
T00966,2018,10,18
T00967,2015,10,21
T00968,2020,01,07
T00969,2017,05,28
T00970,2016,11,06
T00971,2018,01,18
T00972,2014,12,11
T00973,2017,05,01
T00974,2015,01,04
T00975,2017,10,25
T00976,2016,08,16
T00977,2014,12,07
T00978,2015,05,24
T00979,2014,03,27
T00980,2015,07,29
T00981,2014,10,07
T00982,2018,11,15
T00983,2017,10,30
T00984,2020,07,17
T00985,2020,08,27
T00986,2017,06,22
T00987,2015,12,08
T00988,2019,09,25
T00989,2014,09,22
T00990,2018,02,20
T00991,2016,07,22
T00992,2016,08,14
T00993,2018,04,28
T00994,2017,08,09
T00995,2015,02,04
T00996,2016,10,16
T00997,2020,07,10
T00998,2015,10,28
T00999,2015,09,04
T01000,2014,05,11
T01001,2015,08,12
T01002,2016,09,10
T01003,2017,05,30
T01004,2019,04,11
T01005,2017,01,04
T01006,2015,02,06
T01007,2019,06,29
T01008,2018,07,27
T01009,2020,09,04
T01010,2017,01,18
T01011,2017,05,12
T01012,2019,06,10
T01013,2020,10,18
T01014,2014,09,04
T01015,2016,12,09
T01016,2016,03,29
T01017,2016,07,08
T01018,2019,06,23
T01019,2018,11,04
T01020,2015,06,23
T01021,2014,11,07
T01022,2014,04,06
T01023,2019,02,12
T01024,2020,03,22
T01025,2020,02,18
T01026,2020,09,05
T01027,2019,12,07
T01028,2015,06,10
T01029,2015,05,13
T01030,2016,09,10
T01031,2017,09,25
T01032,2017,10,16
T01033,2019,09,17
T01034,2019,05,08
T01035,2019,07,24
T01036,2017,01,20
T01037,2015,06,06
T01038,2020,12,04
T01039,2015,04,28
T01040,2015,06,29
T01041,2020,10,25
T01042,2020,12,21
T01043,2019,04,13
T01044,2018,05,11
T01045,2017,02,14
T01046,2020,12,20
T01047,2018,05,17
T01048,2016,11,27
T01049,2015,06,21
T01050,2019,07,18
T01051,2020,09,10
T01052,2016,01,01
T01053,2016,11,09
T01054,2020,09,19
T01055,2018,12,01
T01056,2016,02,27
T01057,2020,05,23
T01058,2015,05,26
T01059,2019,07,30
T01060,2017,08,29
T01061,2016,05,22
T01062,2018,01,28
T01063,2014,06,16
T01064,2019,09,11
T01065,2019,02,28
T01066,2014,05,17
T01067,2014,03,12
T01068,2015,12,11
T01069,2016,04,15
T01070,2015,08,27
T01071,2018,09,07
T01072,2015,05,27
T01073,2018,06,16
T01074,2019,07,21
T01075,2014,01,25
T01076,2020,08,24
T01077,2019,08,04
T01078,2017,03,26
T01079,2019,10,10
T01080,2017,03,27
T01081,2018,03,27
T01082,2021,01,11
T01083,2019,07,11
T01084,2016,09,05
T01085,2019,08,17
T01086,2020,01,01
T01087,2018,12,11
T01088,2016,11,20
T01089,2020,08,26
T01090,2018,10,20
T01091,2015,10,27
T01092,2018,11,05
T01093,2015,03,31
T01094,2018,08,22
T01095,2016,10,05
T01096,2020,02,15
T01097,2019,11,07
T01098,2016,02,11
T01099,2019,02,28
T01100,2019,05,02
T01101,2016,06,13
T01102,2014,08,29
T01103,2018,05,12
T01104,2019,09,03
T01105,2016,10,19
T01106,2019,11,19
T01107,2015,08,11
T01108,2015,08,17
T01109,2014,04,08
T01110,2017,01,12
T01111,2020,04,11
T01112,2018,01,01
T01113,2015,03,18
T01114,2015,09,03
T01115,2017,01,17
T01116,2014,02,04
T01117,2017,07,12
T01118,2019,02,02
T01119,2020,08,21
T01120,2019,05,14
T01121,2021,01,19
T01122,2015,03,17
T01123,2016,09,12
T01124,2015,04,21
T01125,2018,02,11
T01126,2018,10,28
T01127,2014,07,23
T01128,2019,08,09
T01129,2015,10,21
T01130,2016,06,16
T01131,2018,02,15
T01132,2018,04,24
T01133,2019,07,17
T01134,2015,03,07
T01135,2019,12,27
T01136,2020,02,22
T01137,2020,05,22
T01138,2020,07,07
T01139,2015,12,26
T01140,2016,10,29
T01141,2019,05,31
T01142,2019,03,01
T01143,2020,07,11
T01144,2019,10,04
T01145,2020,05,03
T01146,2015,02,18
T01147,2015,08,07
T01148,2017,10,11
T01149,2018,06,23
T01150,2017,07,23
T01151,2020,01,16
T01152,2019,05,09
T01153,2018,03,14
T01154,2016,02,14
T01155,2016,03,07
T01156,2014,11,16
T01157,2017,12,22
T01158,2015,09,09
T01159,2020,12,27
T01160,2019,04,20
T01161,2014,06,04
T01162,2016,10,09
T01163,2014,04,13
T01164,2018,03,09
T01165,2014,11,07
T01166,2015,12,30
T01167,2016,08,21
T01168,2017,08,24
T01169,2017,01,01
T01170,2018,01,31
T01171,2014,06,10
T01172,2015,01,28
T01173,2014,02,08
T01174,2020,02,17
T01175,2015,02,18
T01176,2018,03,27
T01177,2015,04,18
T01178,2017,02,06
T01179,2017,07,24
T01180,2017,01,07
T01181,2014,01,25
T01182,2015,11,16
T01183,2020,07,12
T01184,2017,09,25
T01185,2015,08,06
T01186,2018,12,19
T01187,2017,04,25
T01188,2019,11,15
T01189,2019,11,17
T01190,2015,07,06
T01191,2016,09,08
T01192,2017,11,02
T01193,2019,03,13
T01194,2015,05,17
T01195,2017,08,01
T01196,2018,07,02
T01197,2020,09,14
T01198,2014,05,19
T01199,2017,12,05
T01200,2014,05,04
T01201,2014,07,29
T01202,2014,03,13
T01203,2016,03,12
T01204,2015,12,30
T01205,2016,01,21
T01206,2015,04,28
T01207,2018,06,11
T01208,2018,05,27
T01209,2014,02,24
T01210,2020,07,09
T01211,2020,09,25
T01212,2020,06,10
T01213,2016,11,21
T01214,2015,10,31
T01215,2014,08,13
T01216,2014,09,17
T01217,2016,06,13
T01218,2015,03,09
T01219,2018,05,16
T01220,2017,06,02
T01221,2017,08,27
T01222,2018,02,04
T01223,2018,10,21
T01224,2019,12,20
T01225,2015,12,25
T01226,2015,06,16
T01227,2015,11,16
T01228,2017,03,02
T01229,2020,09,10
T01230,2020,04,12
T01231,2016,09,27
T01232,2020,01,03
T01233,2020,08,18
T01234,2015,12,23
T01235,2018,08,15
T01236,2017,02,05
T01237,2016,01,22
T01238,2018,12,26
T01239,2017,07,16
T01240,2014,02,26
T01241,2018,05,09
T01242,2015,07,19
T01243,2016,08,05
T01244,2018,10,13
T01245,2020,09,30
T01246,2020,02,19
T01247,2017,07,20
T01248,2017,02,07
T01249,2019,05,19
T01250,2018,03,10
T01251,2017,11,04
T01252,2017,07,22
T01253,2016,10,20
T01254,2017,07,14
T01255,2018,10,18
T01256,2014,11,20
T01257,2016,02,22
T01258,2019,10,08
T01259,2017,11,23
T01260,2018,04,27
T01261,2014,06,15
T01262,2016,09,20
T01263,2018,04,05
T01264,2017,03,31
T01265,2018,04,18
T01266,2014,11,03
T01267,2015,12,31
T01268,2015,05,03
T01269,2016,04,16
T01270,2015,01,09
